Miasto,Powiat,Województwo,Powierzchnia [ha] (01.01.2021),Liczba ludności (01.01.2021),Gęstość zaludnienia [osoby/km²] (01.01.2021)
Knurów,gliwicki,śląskie,3395,37801,1113
Knyszyn,moniecki,podlaskie,2368,2726,115
Kobylin,krotoszyński,wielkopolskie,487,3222,662
Kobyłka,wołomiński,mazowieckie,1964,25149,1280
Kock,lubartowski,lubelskie,1678,3238,193
Kolbuszowa,kolbuszowski,podkarpackie,798,8922,1118
Kolno,kolneński,podlaskie,2507,10143,405
Kolonowskie,strzelecki,opolskie,5570,3296,59
Koluszki,łódzki wschodni,łódzkie,990,12776,1291
Kołaczyce,jasielski,podkarpackie,715,1427,200
Koło,kolski,wielkopolskie,1385,21247,1534
Kołobrzeg,kołobrzeski,zachodniopomorskie,2567,46198,1800
Koniecpol,częstochowski,śląskie,3692,5846,158
Konin,Konin,wielkopolskie,8231,72539,881
Konstancin-Jeziorna,piaseczyński,mazowieckie,1774,16889,952
Konstantynów Łódzki,pabianicki,łódzkie,2725,18335,673
Końskie,konecki,świętokrzyskie,1770,18878,1067
Koprzywnica,sandomierski,świętokrzyskie,1790,2431,136
Korfantów,nyski,opolskie,1023,1771,173
Koronowo,bydgoski,kujawsko-pomorskie,2815,11070,393
Korsze,kętrzyński,warmińsko-mazurskie,403,4145,1029
Kosów Lacki,sokołowski,mazowieckie,1157,2071,179
Kostrzyn,poznański,wielkopolskie,798,9697,1215
Kostrzyn nad Odrą,gorzowski,lubuskie,4614,17704,384
Koszalin,Koszalin,zachodniopomorskie,9834,106235,1080
Koszyce,proszowicki,małopolskie,325,775,238
Kościan,kościański,wielkopolskie,901,23716,2632
Kościerzyna,kościerski,pomorskie,1586,23778,1499
Kowal,włocławski,kujawsko-pomorskie,468,3468,741
Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie,445,4102,922
Kowary,karkonoski,dolnośląskie,3739,10650,285
Koziegłowy,myszkowski,śląskie,2671,2438,91
Kozienice,kozienicki,mazowieckie,1045,16877,1615
Koźmin Wielkopolski,krotoszyński,wielkopolskie,589,6437,1093
Koźminek,kaliski,wielkopolskie,604,1938,321
Kożuchów,nowosolski,lubuskie,594,9337,1572
Kórnik,poznański,wielkopolskie,599,8023,1339
Krajenka,złotowski,wielkopolskie,376,3603,958
Kraków,Kraków,małopolskie,32685,779966,2386
Krapkowice,krapkowicki,opolskie,2101,15962,760
Krasnobród,zamojski,lubelskie,699,3074,440
Krasnystaw,krasnostawski,lubelskie,4213,18383,436
Kraśnik,kraśnicki,lubelskie,2610,33917,1300
Krobia,gostyński,wielkopolskie,705,4338,615
Krosno,Krosno,podkarpackie,4472,45948,1027
Krosno Odrzańskie,krośnieński,lubuskie,815,11155,1369
Krośniewice,kutnowski,łódzkie,418,4258,1019
Krotoszyn,krotoszyński,wielkopolskie,2254,28701,1273
Kruszwica,inowrocławski,kujawsko-pomorskie,1023,9331,912
